n_element = 276079 , t_a_compute = 0.001275 seconds, bandwidth = 216.572976 GBytes/s, performance = 155.932543 GFlop/s, t_j_init = 0.000734 , t_j_init_copy = 0.000896 , t_a_init_copy = 0.001516 , t_j_end_copy = 0.000839 , t_a_end_copy = 0.001482
n_element = 303686 , t_a_compute = 0.001319 seconds, bandwidth = 230.167855 GBytes/s, performance = 165.720856 GFlop/s, t_j_init = 0.000814 , t_j_init_copy = 0.000956 , t_a_init_copy = 0.001660 , t_j_end_copy = 0.000924 , t_a_end_copy = 0.001587
n_element = 334054 , t_a_compute = 0.001516 seconds, bandwidth = 220.315911 GBytes/s, performance = 158.627456 GFlop/s, t_j_init = 0.000894 , t_j_init_copy = 0.001047 , t_a_init_copy = 0.001821 , t_j_end_copy = 0.001003 , t_a_end_copy = 0.001744
n_element = 367459 , t_a_compute = 0.001675 seconds, bandwidth = 219.314612 GBytes/s, performance = 157.906520 GFlop/s, t_j_init = 0.000978 , t_j_init_copy = 0.001147 , t_a_init_copy = 0.002011 , t_j_end_copy = 0.001109 , t_a_end_copy = 0.001914
n_element = 404204 , t_a_compute = 0.001825 seconds, bandwidth = 221.535298 GBytes/s, performance = 159.505414 GFlop/s, t_j_init = 0.001129 , t_j_init_copy = 0.001253 , t_a_init_copy = 0.002194 , t_j_end_copy = 0.001197 , t_a_end_copy = 0.002087
n_element = 444624 , t_a_compute = 0.001981 seconds, bandwidth = 224.410802 GBytes/s, performance = 161.575777 GFlop/s, t_j_init = 0.001064 , t_j_init_copy = 0.001395 , t_a_init_copy = 0.002413 , t_j_end_copy = 0.001314 , t_a_end_copy = 0.002294
n_element = 489086 , t_a_compute = 0.002162 seconds, bandwidth = 226.206895 GBytes/s, performance = 162.868965 GFlop/s, t_j_init = 0.001329 , t_j_init_copy = 0.001529 , t_a_init_copy = 0.002633 , t_j_end_copy = 0.001438 , t_a_end_copy = 0.002510
n_element = 537994 , t_a_compute = 0.002395 seconds, bandwidth = 224.590889 GBytes/s, performance = 161.705440 GFlop/s, t_j_init = 0.001460 , t_j_init_copy = 0.001708 , t_a_init_copy = 0.002876 , t_j_end_copy = 0.001568 , t_a_end_copy = 0.002759
n_element = 591793 , t_a_compute = 0.002638 seconds, bandwidth = 224.366965 GBytes/s, performance = 161.544215 GFlop/s, t_j_init = 0.001535 , t_j_init_copy = 0.001871 , t_a_init_copy = 0.003162 , t_j_end_copy = 0.001730 , t_a_end_copy = 0.003040
n_element = 650972 , t_a_compute = 0.002783 seconds, bandwidth = 233.916977 GBytes/s, performance = 168.420224 GFlop/s, t_j_init = 0.001824 , t_j_init_copy = 0.002057 , t_a_init_copy = 0.003474 , t_j_end_copy = 0.001901 , t_a_end_copy = 0.003328
n_element = 716069 , t_a_compute = 0.003188 seconds, bandwidth = 224.643953 GBytes/s, performance = 161.743646 GFlop/s, t_j_init = 0.001944 , t_j_init_copy = 0.002234 , t_a_init_copy = 0.003803 , t_j_end_copy = 0.002148 , t_a_end_copy = 0.003653
n_element = 787675 , t_a_compute = 0.003463 seconds, bandwidth = 227.422734 GBytes/s, performance = 163.744368 GFlop/s, t_j_init = 0.002134 , t_j_init_copy = 0.002438 , t_a_init_copy = 0.004156 , t_j_end_copy = 0.002265 , t_a_end_copy = 0.004010
n_element = 866442 , t_a_compute = 0.003774 seconds, bandwidth = 229.576645 GBytes/s, performance = 165.295184 GFlop/s, t_j_init = 0.002371 , t_j_init_copy = 0.002655 , t_a_init_copy = 0.004570 , t_j_end_copy = 0.002483 , t_a_end_copy = 0.004411
n_element = 953086 , t_a_compute = 0.004168 seconds, bandwidth = 228.646072 GBytes/s, performance = 164.625172 GFlop/s, t_j_init = 0.002735 , t_j_init_copy = 0.002886 , t_a_init_copy = 0.005028 , t_j_end_copy = 0.002760 , t_a_end_copy = 0.004853
n_element = 1048394 , t_a_compute = 0.004560 seconds, bandwidth = 229.909402 GBytes/s, performance = 165.534769 GFlop/s, t_j_init = 0.002906 , t_j_init_copy = 0.003174 , t_a_init_copy = 0.005513 , t_j_end_copy = 0.003023 , t_a_end_copy = 0.005327
n_element = 1153233 , t_a_compute = 0.005112 seconds, bandwidth = 225.595119 GBytes/s, performance = 162.428486 GFlop/s, t_j_init = 0.003096 , t_j_init_copy = 0.003523 , t_a_init_copy = 0.006130 , t_j_end_copy = 0.003322 , t_a_end_copy = 0.005836
n_element = 1268556 , t_a_compute = 0.005481 seconds, bandwidth = 231.437515 GBytes/s, performance = 166.635011 GFlop/s, t_j_init = 0.003633 , t_j_init_copy = 0.003803 , t_a_init_copy = 0.006650 , t_j_end_copy = 0.003631 , t_a_end_copy = 0.006417
