n_element = 953086 , t_a_compute = 0.008354 seconds, bandwidth = 114.085949 GBytes/s, performance = 82.141884 GFlop/s, t_j_init = 0.002218 , t_j_init_copy = 0.002879 , t_a_init_copy = 0.004988 , t_j_end_copy = 0.002753 , t_a_end_copy = 0.004834
n_element = 1048394 , t_a_compute = 0.009251 seconds, bandwidth = 113.330936 GBytes/s, performance = 81.598274 GFlop/s, t_j_init = 0.002573 , t_j_init_copy = 0.003138 , t_a_init_copy = 0.005484 , t_j_end_copy = 0.003029 , t_a_end_copy = 0.005299
n_element = 1153233 , t_a_compute = 0.010075 seconds, bandwidth = 114.467972 GBytes/s, performance = 82.416940 GFlop/s, t_j_init = 0.002816 , t_j_init_copy = 0.003458 , t_a_init_copy = 0.006018 , t_j_end_copy = 0.003317 , t_a_end_copy = 0.005824
n_element = 1268556 , t_a_compute = 0.011064 seconds, bandwidth = 114.652804 GBytes/s, performance = 82.550019 GFlop/s, t_j_init = 0.003098 , t_j_init_copy = 0.003791 , t_a_init_copy = 0.006618 , t_j_end_copy = 0.003652 , t_a_end_copy = 0.006402
n_element = 1395411 , t_a_compute = 0.012152 seconds, bandwidth = 114.829220 GBytes/s, performance = 82.677039 GFlop/s, t_j_init = 0.003415 , t_j_init_copy = 0.004263 , t_a_init_copy = 0.007276 , t_j_end_copy = 0.004012 , t_a_end_copy = 0.007033
n_element = 1534952 , t_a_compute = 0.013349 seconds, bandwidth = 114.988514 GBytes/s, performance = 82.791730 GFlop/s, t_j_init = 0.003775 , t_j_init_copy = 0.004554 , t_a_init_copy = 0.007987 , t_j_end_copy = 0.004408 , t_a_end_copy = 0.007735
n_element = 1688447 , t_a_compute = 0.014666 seconds, bandwidth = 115.126509 GBytes/s, performance = 82.891087 GFlop/s, t_j_init = 0.004162 , t_j_init_copy = 0.005007 , t_a_init_copy = 0.008782 , t_j_end_copy = 0.004813 , t_a_end_copy = 0.008486
n_element = 1857291 , t_a_compute = 0.016127 seconds, bandwidth = 115.167538 GBytes/s, performance = 82.920628 GFlop/s, t_j_init = 0.004563 , t_j_init_copy = 0.005488 , t_a_init_copy = 0.009662 , t_j_end_copy = 0.005286 , t_a_end_copy = 0.009342
n_element = 2043020 , t_a_compute = 0.017714 seconds, bandwidth = 115.332117 GBytes/s, performance = 83.039125 GFlop/s, t_j_init = 0.005035 , t_j_init_copy = 0.006031 , t_a_init_copy = 0.010612 , t_j_end_copy = 0.005814 , t_a_end_copy = 0.010349
n_element = 2247322 , t_a_compute = 0.019473 seconds, bandwidth = 115.405044 GBytes/s, performance = 83.091631 GFlop/s, t_j_init = 0.005547 , t_j_init_copy = 0.006644 , t_a_init_copy = 0.012000 , t_j_end_copy = 0.006430 , t_a_end_copy = 0.011372
n_element = 2472054 , t_a_compute = 0.021397 seconds, bandwidth = 115.530109 GBytes/s, performance = 83.181678 GFlop/s, t_j_init = 0.006135 , t_j_init_copy = 0.007292 , t_a_init_copy = 0.012828 , t_j_end_copy = 0.007020 , t_a_end_copy = 0.012422
n_element = 2719259 , t_a_compute = 0.023510 seconds, bandwidth = 115.663148 GBytes/s, performance = 83.277467 GFlop/s, t_j_init = 0.006715 , t_j_init_copy = 0.008003 , t_a_init_copy = 0.014108 , t_j_end_copy = 0.007710 , t_a_end_copy = 0.013634
n_element = 2991184 , t_a_compute = 0.025856 seconds, bandwidth = 115.684553 GBytes/s, performance = 83.292878 GFlop/s, t_j_init = 0.007382 , t_j_init_copy = 0.008803 , t_a_init_copy = 0.015555 , t_j_end_copy = 0.008477 , t_a_end_copy = 0.014994
n_element = 3290302 , t_a_compute = 0.028489 seconds, bandwidth = 115.491990 GBytes/s, performance = 83.154233 GFlop/s, t_j_init = 0.008110 , t_j_init_copy = 0.009676 , t_a_init_copy = 0.017059 , t_j_end_copy = 0.009308 , t_a_end_copy = 0.016507
